ucs,rpf
5.820599456,293.05649819999996
6.820599456,288.03850974
7.820599456,285.3294685411764
8.820599456,273.86943938666667
9.820599456,262.9352961
10.820599456,253.1434577833334
11.820599456,248.3756447833334
12.820599456,241.97214935000002
13.820599456,236.5440805090909
14.820599456,231.02097369999998
15.820599456,227.1369088125
16.820599456,222.4454038625
17.820599456,218.2021969
18.820599456,215.43329686666667
19.820599456,207.79354155
20.820599456,205.94750435
21.820599456,202.18678124444443
22.820599456,200.37801789000002
23.820599456,196.869986375
24.820599456,194.69901891111112
25.820599456,191.54406701428573
26.820599456,188.57966086666667
27.820599456,183.19227865714288
28.820599456,180.67504206
29.820599456,178.04902685
30.820599456,175.96790458571425
31.820599456,175.2278613875
32.820599456,172.20115782857144
33.820599456,170.88789802
34.820599456,167.03090056000002
35.820599456,165.4712354
36.820599456,162.583415275
37.820599456,161.65490788
38.820599456,159.68505376
39.820599456,157.8383726333333
40.820599456,154.32412535
41.820599456,153.11854103333334
42.820599456,152.1693248
43.820599456,149.69107048
44.820599456,148.859933125
45.820599456,146.50986284
46.820599456,145.806909525
47.820599456,143.30129266666668
48.820599456,141.46355897142857
49.820599456,139.98264915000001
50.820599456,139.98264915000001
51.820599456,139.05885161666666
52.820599456,136.081772575
53.820599456,134.69607630000002
54.820599456,134.69607630000002
55.820599456,133.156621475
56.820599456,131.15573525000002
57.820599456,131.15573525000002
58.820599456,127.46054516666668
59.820599456,126.0748489
60.820599456,125.61253470000001
61.820599456,124.62665216
62.820599456,123.14782835
63.820599456,123.14782835
64.820599456,121.915890625
65.820599456,119.96516676666668
66.820599456,119.14387495
67.820599456,118.5275945
68.820599456,117.29503360000001
69.820599456,116.06247273333334
70.820599456,116.06247273333334
71.820599456,114.72740616666668
72.820599456,114.0598729
73.820599456,113.2898339
74.820599456,111.90289135
75.820599456,109.89966835
76.820599456,109.89966835
77.820599456,109.2833879
78.820599456,108.05082703333333
79.820599456,108.05082703333333
80.820599456,107.4345466
81.820599456,105.73946384999999
82.820599456,103.22392006666666
83.820599456,103.22392006666666
84.820599456,102.44354742
85.820599456,101.47799985666666
86.820599456,100.901973928
87.820599456,100.901973928
88.820599456,100.4229545475
89.820599456,99.93293682333335
90.820599456,99.572920635
91.820599456,99.0328963325
92.820599456,98.41599275749999
93.820599456,97.7222099125
94.820599456,97.7222099125
95.820599456,96.95154779500001
96.820599456,96.64278444
97.820599456,94.48247952
98.820599456,92.637169305
99.820599456,92.84148832333334
100.820599456,92.712386885
101.820599456,92.572924096
102.820599456,92.53009395666668
103.820599456,91.81006155333334
104.820599456,91.19253484333335
105.820599456,91.19253484333335
106.820599456,90.47250244000001
107.820599456,89.85497572999999
108.820599456,89.13494332666669
109.820599456,89.13494332666669
110.820599456,88.51741662
111.820599456,87.79738421999998
112.820599456,87.28236320666667
113.820599456,87.28236320666667
114.820599456,86.66483649666668
115.820599456,86.14981547999999
116.820599456,86.14981547999999
117.820599456,85.53228877333333
118.820599456,85.01726776
119.820599456,84.50224674666667
120.820599456,84.50224674666667
121.820599456,84.295989085
122.820599456,83.98722573
123.820599456,81.52085771
124.820599456,81.827128525
125.820599456,81.82588225666667
126.820599456,81.82588225666667
127.820599456,81.72088402333334
128.820599456,81.30836870333333
129.820599456,81.30836870333333
130.820599456,80.79334769
131.820599456,80.27832667666668
132.820599456,79.86581136
133.820599456,79.86581136
134.820599456,79.45329604
135.820599456,78.8863990425
136.820599456,78.545762336
137.820599456,78.545762336
138.820599456,78.42076147
139.820599456,78.17275377000001
140.820599456,78.17275377000001
141.820599456,77.30846563200001
142.820599456,76.5678697775
143.820599456,76.25848329
144.820599456,76.25848329
145.820599456,76.15317349
146.820599456,75.94566956
147.820599456,75.48127825750001
148.820599456,75.48127825750001
149.820599456,75.24877104
150.820599456,74.93938455
151.820599456,74.860635875
152.820599456,74.80813675666667
153.820599456,74.49812713
154.820599456,74.18811750666667
155.820599456,74.18811750666667
156.820599456,73.77560219000001
157.820599456,73.56809826333334
158.820599456,73.46310003
159.820599456,73.46310003
160.820599456,73.07527643249999
161.820599456,72.9460019
162.820599456,72.53390200333332
163.820599456,72.4558803175
164.820599456,72.12180210666666
165.820599456,72.11930956666667
166.820599456,71.91180563666666
167.820599456,71.49929032
168.820599456,71.49929032
169.820599456,71.18928069666667
170.820599456,70.98177677000001
171.820599456,70.87677853333334
172.820599456,70.87677853333334
173.820599456,70.824279415
174.820599456,70.359264975
175.820599456,70.04925535
176.820599456,69.89425054
177.820599456,69.84175142333333
178.820599456,69.73675319
179.820599456,69.73675319
180.820599456,69.63175495666667
181.820599456,69.42425102666667
182.820599456,69.11424140333332
183.820599456,69.11424140333332
184.820599456,68.80423177666665
185.820599456,68.59672784666667
186.820599456,68.49172961333333
187.820599456,68.49172961333333
188.820599456,68.38673138
189.820599456,68.17922745333333
190.820599456,68.17922745333333
191.820599456,67.97172352333334
192.820599456,67.6617139
193.820599456,67.45420997000001
194.820599456,67.45420997000001
195.820599456,67.24670604
196.820599456,67.2442135
197.820599456,67.24296723
198.820599456,66.83128275666667
199.820599456,66.62336340333333
200.820599456,66.314184625
201.820599456,66.21043266
202.820599456,66.20794012
203.820599456,66.20794012
204.820599456,66.00043619
205.820599456,65.99794365333332
206.820599456,65.89294542
207.820599456,65.89294542
208.820599456,65.68544149333333
209.820599456,65.47793756333334
210.820599456,65.16792794000001
211.820599456,65.16792794000001
212.820599456,64.96042401
213.820599456,64.75292008
214.820599456,64.75292008
215.820599456,64.75042753999999
216.820599456,64.64542930666667
217.820599456,64.43792537666667
