crs,specific_energy
1.011631263,3.873308025
1.011574215,3.842298565
1.016625824,3.955859763
1.021549025,3.986729067
1.018979097,3.914443738
1.021337817,3.873027713
1.021280223,3.842018253
1.031486458,4.058804163
1.031137506,3.872747402
1.031069667,3.836569698
1.036481625,4.089673467
1.04217337,4.037827518
1.041031222,3.87246709
1.046603666,4.182421536
1.046534811,4.146243832
1.043951083,4.09979972
1.046220099,3.980860045
1.051375548,4.05824354
1.051296498,4.016897593
1.051138414,3.934205699
1.050990233,3.856682049
1.056258532,3.980579734
1.062308462,4.057939869
1.061373663,4.011449038
1.07172872,4.099028863
1.071648139,4.057682917
1.069032554,4.026743534
1.082052587,4.119421525
1.081971229,4.078075578
1.093345605,4.139790828
1.089788996,4.098538318
1.103041092,4.180879823
1.102958157,4.139533876
1.100266152,4.108594493
1.11455316,4.201249125
1.113572387,4.154758294
1.124394437,4.221665146
1.124309896,4.1803192
1.136129363,4.242034449
1.13243358,4.200781939
1.146204245,4.283123444
1.146118064,4.241777497
1.143320719,4.210838115
1.158166792,4.303492746
1.15714764,4.257001915
1.169323308,4.323885408
1.165519547,4.282632898
1.179692545,4.364974403
1.179603846,4.323628456
1.176724772,4.292689074
1.192004598,4.385343705
1.19095567,4.338852874
1.203487071,4.405736367
1.199572176,4.364483858
1.215080153,4.426129029
1.211150313,4.395213006
1.226831033,4.467194665
1.225751459,4.420703834
1.222771244,4.394932695
1.238648986,4.487587326
1.234619711,4.446334817
1.25058078,4.507979988
1.246536123,4.477063965
1.261670585,4.549068983
1.261575723,4.507723036
1.274838216,4.569438286
1.270691219,4.528185776
1.28614313,4.61052728
1.286046427,4.569181333
1.282907557,4.538241951
1.29853243,4.630919942
1.298447,4.594742239
1.312084776,4.651289245
1.307816617,4.610036735
1.323719981,4.692378239
1.323620454,4.651032293
1.320389876,4.62009291
1.336471257,4.712770901
1.33637077,4.671424954
1.350419557,4.733140204
1.349231228,4.686649373
1.363428027,4.753532866
1.35899285,4.712280356
1.376613559,4.794598501
1.375402181,4.74810767
1.389874353,4.814991163
1.385353148,4.773738653
1.403262888,4.835383825
1.39869813,4.794131315
1.415706636,4.87647282
1.415600192,4.835126873
1.412145118,4.804187491
1.430481889,4.896842122
1.425828589,4.855589613
1.444261592,4.917234784
1.439563467,4.875982274
1.457068905,4.958323779
1.456973045,4.922146075
1.472275842,4.978693081
1.467486588,4.937440572
1.486458143,4.999085743
1.481622755,4.957833234
1.499639643,5.040174738
1.499540983,5.003997034
1.515290877,5.060544041
1.510361697,5.019291531
1.529887537,5.080936702
1.52493954,5.050020679
1.543454158,5.122025697
1.543338109,5.08067975
1.559562669,5.142395
1.5581903,5.095904169
1.574585795,5.162787662
1.569463731,5.121535152
1.589753638,5.183180323
1.584612021,5.152264301
1.605127936,5.224245959
1.59990652,5.182993449
1.620589989,5.244638621
1.615318275,5.203386111
1.634960933,5.285727615
1.634838004,5.244381669
1.65202447,5.306096918
1.646650501,5.264844408
1.667938273,5.32648958
1.662512537,5.28523707
1.684068683,5.367555215
1.682586754,5.321064384
1.678495818,5.295293245
1.698938666,5.387971236
1.698826894,5.351793533
1.716669917,5.408340539
1.711085659,5.367088029
1.733271605,5.449406174
1.727633343,5.408153665
1.749968054,5.469798836
1.744275479,5.428546327
1.765486288,5.510887831
1.765353545,5.469541884
1.761044823,5.438602502
1.783912073,5.531257134
1.778109079,5.490004624
1.801096337,5.551649795
1.795237444,5.510397286
1.818446136,5.572042457
1.812564876,5.541126434
1.834571615,5.613131452
1.834450919,5.576953748
1.85371842,5.633500755
1.847688349,5.592248245
1.870156684,5.674589749
1.870016071,5.633243802
1.889674879,5.694959052
1.888012022,5.648468221
1.907877946,5.715351714
1.901671697,5.674099204
1.924796482,5.756440708
1.92465176,5.715094762
1.924543227,5.684085301
1.943337873,5.77683337
1.943191757,5.735487423
1.943045653,5.694141477
1.952253368,5.668160104
1.963619835,5.797202673
1.961891909,5.750711842
1.96172596,5.704197652
1.971670691,5.859104797
1.970985148,5.667879793
1.982833367,5.900287228
1.976271839,5.828025259
2.000303779,5.910366763
2.000153381,5.869020816
2.009556168,5.82236647
2.021066299,5.899726605
2.019268842,5.848067531
2.020610454,5.775688765
2.040535048,5.920119267
2.038739439,5.873628436
2.060191338,5.940511929
2.053489619,5.89925942
2.078304272,5.940254977
2.073231727,5.909315595
2.098304668,5.955479396
2.120383321,6.022362888
2.1134858,5.981110379
2.139186295,6.063451883
2.139025454,6.022105936
2.161512261,6.083821186
2.159610196,6.037330355
2.154359455,6.011559216
2.182333914,6.104213848
2.17523487,6.062961338
2.201686249,6.145302842
2.201520709,6.103956895
2.196147429,6.073017513
2.224664506,6.165672145
2.222706869,6.119181314
2.246094499,6.186064807
2.244118003,6.139573976
2.266012245,6.227153801
2.265841869,6.185807855
2.289661851,6.247523104
2.287647018,6.201032273
2.311717958,6.267915766
2.304198032,6.226663256
2.332217634,6.30900476
2.33204228,6.267658814
2.326350434,6.236719431
2.356558204,6.329374063
2.348892415,6.288121553
2.379258717,6.349766725
2.371519084,6.308514215
2.402268214,6.39083236
2.40015429,6.344341529
2.425409047,6.411225022
2.417519289,6.369972513
2.448772794,6.431617684
2.440807035,6.390365175
2.470487835,6.472706679
2.470302084,6.431360732
2.496271484,6.493075981
2.488151214,6.451823472
2.520317842,6.513468643
2.51211935,6.472216134
2.544691503,6.554534279
2.536413725,6.513281769
2.569204287,6.574926941
2.560846769,6.533674431
2.5939532,6.595319602
2.585563778,6.56440358
2.619038979,6.636385238
2.610519352,6.595132728
2.644267946,6.6567779
2.635666249,6.61552539
2.667716584,6.697866894
2.667516004,6.656520948
2.695558643,6.718236197
2.721524717,6.738628859
2.7191043,6.686969785
2.747844223,6.779694494
2.745400399,6.72803542
2.774313959,6.800087156
2.771846594,6.748428082
2.765133289,6.727825186
2.798915809,6.841176151
2.798705365,6.799830204
2.791822048,6.758554335
2.798310824,6.722306554
2.825877513,6.861568813
2.825665041,6.820222866
2.825080827,6.706521512
2.855370244,6.881938115
2.84608184,6.840685606
2.882875768,6.902330777
2.873551906,6.871414754
2.910755679,6.943396413
2.901287109,6.902143903
2.938794727,6.963789074
2.929234946,6.922536565
2.964855147,7.004878069
2.964632226,6.963532122
2.995798341,7.025247372
2.98605313,6.983994862
3.024656596,7.045640034
3.014817511,7.004387524
3.051478417,7.086729028
3.051248983,7.045383081
3.083325668,7.107098331
3.073295735,7.065845821
3.113027067,7.127490993
3.102900515,7.086238483
3.143014576,7.147883655
3.132849366,7.116967632
3.173410255,7.18894929
3.16308728,7.14769678
3.20397943,7.209341952
3.193557014,7.168089442
3.234843075,7.229734614
3.224380871,7.198818591
3.26352877,7.270823608
3.263314064,7.234645905
3.29758912,7.291192911
3.286923982,7.260276888
3.326831231,7.332281906
3.32661236,7.296104202
3.361552247,7.352651208
3.350617254,7.311398699
3.393933777,7.37304387
3.382957039,7.342127847
3.426627235,7.393436532
3.415544759,7.362520509
3.459765695,7.434502167
3.448511217,7.393249658
3.493093306,7.454894829
3.481795863,7.423978806
3.52687455,7.495960465
3.523771007,7.449469634
3.560848615,7.516353127
3.549265318,7.475100617
3.595149948,7.536745788
3.583522432,7.505829766
3.626894389,7.55716181
3.618042181,7.526222427
3.644526815,7.598367601
3.661728687,7.562049742
3.679426714,7.587750803
3.715149634,7.649489411
3.714905215,7.613311708
3.705873028,7.587540569
3.751148868,7.700891533
3.750866827,7.659545587
3.75065531,7.628536126
3.787140965,7.700611222
3.78689181,7.664433518
3.826666079,7.720980524
3.814218089,7.679728015
3.850887719,7.68978419
