ucs,rpf
5.820599456,301.3049068
5.820599456,298.8447702
5.820599456,296.6921506
6.163323663,293.9238737
6.506047871,291.4631139
6.506047871,289.0029772
7.191496285,301.3024143
7.191496285,298.8422776
6.848772078,286.5422174
7.191496285,284.0814576
7.191496285,281.6213209
7.8769447,278.5449038
7.8769447,276.0847671
8.562393115,272.3933158
8.562393115,269.9331792
9.24784153,266.2417279
9.24784153,263.7815912
9.933289945,260.7051741
9.933289945,258.5525545
10.61873836,255.7836545
10.61873836,253.6310349
11.30418677,250.8621349
11.30418677,248.7095153
11.98963519,246.2481323
12.3323594,248.4001288
12.6750836,243.4792323
12.6750836,241.3266127
13.36053202,238.5577127
14.04598043,235.4812956
13.70325623,234.2518504
14.73142885,232.4048785
15.41687726,229.3284613
15.07415306,228.0990161
16.10232568,225.6370101
15.75960147,224.4075649
16.9020155,222.5603852
17.47322251,219.1766588
18.15867092,216.4077587
18.84411934,213.9463758
19.52956775,211.4849928
20.21501617,209.0236099
20.90046458,206.5622269
20.90046458,201.6419536
21.585913,204.100844
21.585913,199.1805707
22.27136141,201.6394611
22.95680983,199.1780781
23.29953403,201.6375917
23.64225824,196.7166952
24.32770666,195.1778635
24.67043086,197.9448941
25.01315507,192.4089634
25.01315507,190.2563439
26.04132769,190.5619915
26.3840519,188.4087488
27.18374172,186.0496639
28.44039714,183.7922537
29.81129397,180.0995562
29.81129397,178.2544537
29.81129397,175.1792828
31.1821908,176.4068586
31.1821908,174.5617561
32.55308763,174.8667807
32.55308763,172.406644
33.35277745,170.047559
34.26670867,169.6358746
34.60943288,167.4826318
35.98032971,165.3275197
36.78001952,162.6609177
37.69395074,162.2492332
38.03667495,160.0959905
39.40757178,157.9408783
40.77846861,155.4782491
42.14936544,153.0156199
42.83481386,150.8617541
44.20571069,149.3216761
45.23388331,148.7047725
45.57660752,146.5515298
46.94750434,145.0114518
47.74719416,142.959884
49.00384959,141.9325422
50.03202221,143.7757753
50.03202221,141.3156386
50.37474642,138.8548788
50.37474642,136.3947421
51.74564325,137.6223179
53.11654008,136.389757
54.1447127,136.3878876
54.48743691,133.9271278
55.85833374,132.0795328
57.22923057,130.2319377
59.97102423,127.1517818
60.65647264,124.997916
62.02736947,124.6879063
63.3982663,124.0703796
63.3982663,122.2252771
64.76916313,121.6077504
66.14005996,119.7601554
67.51095679,118.5275945
68.88185362,117.2950336
70.25275045,116.0624727
71.62364728,114.8299119
72.99454411,113.2898339
76.42178618,110.5159488
77.79268301,109.2833879
79.16357984,108.050827
80.53447667,106.8182662
83.27627033,104.6606615
84.64716716,103.7356177
84.64716716,101.275481
86.01806399,102.5030568
86.01806399,100.0429201
87.38896082,101.8855301
87.38896082,99.42539344
88.75985765,100.6529692
90.13075448,99.72792545
91.50165131,99.41791582
92.87254814,99.41542328
92.87254814,97.57032078
94.24344497,97.26031115
95.6143418,96.64278444
99.84127369,94.48247952
100.0697565,90.79185909
101.0979291,93.25012636
102.4688259,92.32508257
103.8397228,92.01507294
105.2106196,91.09002915
106.5815164,90.47250244
107.9524133,89.85497573
109.3233101,89.23744902
110.6942069,88.31240523
112.0651038,88.00239561
113.4360006,87.07735182
114.8068974,86.76734219
116.1777942,86.14981548
117.5486911,85.53228877
118.9195879,84.91476207
120.2904847,84.60475244
121.6613816,83.98722573
125.0886236,81.52085771
126.4595205,82.13339934
127.8304173,81.82338972
129.2013141,81.20586301
130.572211,80.89585338
131.9431078,80.27832668
133.3140046,79.66079997
134.6849014,79.65830743
136.0557983,79.04078072
137.4266951,79.65332235
137.4266951,77.19318567
138.7975919,79.65082981
138.7975919,77.19069313
140.1684888,79.64833727
140.1684888,77.18820059
141.5393856,77.18570805
142.9102824,77.18321551
143.5957308,75.33686674
144.2811792,76.56568881
145.6520761,75.9481621
147.0229729,75.94566956
148.3938697,75.94317702
149.7647666,75.94068448
149.7647666,74.09558197
151.1356634,75.01564069
152.5065602,74.70563106
153.8774571,74.70313852
155.2483539,74.08561181
156.6192507,73.77560219
157.9901475,73.46559257
159.3610444,73.46310003
160.7319412,73.46060749
162.102838,73.45811495
162.7882864,71.91928326
164.1591833,72.2243078
165.5300801,72.22181526
166.9009769,71.91180564
168.2718738,71.60179601
169.6427706,70.98426931
171.0136674,70.98177677
172.3845643,70.97928423
173.7554611,70.6692746
176.4972547,70.04925535
177.8681516,69.73924573
179.2390484,69.73675319
180.6099452,69.73426065
181.9808421,69.42425103
183.3517389,69.1142414
184.7226357,68.80423178
186.0935326,68.49422215
187.4644294,68.49172961
188.8353262,68.48923708
190.206223,68.17922745
191.5771199,67.86921783
192.9480167,67.86672529
194.3189135,67.24919858
195.6898104,67.24670604
197.0607072,67.2442135
198.431604,67.24172096
200.4879493,66.00791381
201.8588461,66.62045544
203.2297429,66.00292873
204.6006398,66.00043619
205.9715366,65.99794365
207.3424334,65.99545112
208.7133302,65.68544149
210.0842271,65.37543187
211.4551239,65.37293933
212.8260207,64.75541262
214.1969176,64.75292008
215.5678144,64.75042754
216.9387112,64.747935
218.309608,64.43792538
219.6805049,64.12791575
221.0514017,64.12542321
222.4222985,63.5078965
223.7931954,63.50540396
226.534989,63.50041889
227.9058859,63.19040926
229.2767827,62.88039964
230.6476795,62.8779071
232.0185763,62.26038039
233.3894732,62.25788785
234.76037,62.25539531
236.1312668,62.25290277
237.5021637,61.63537606
238.8730605,61.32536644
240.2439573,62.24542515
240.2439573,59.78528848
241.6148542,62.24293261
241.6148542,59.78279594
242.985751,62.24044007
242.985751,60.08782048
